image_id,relative_path,parent_folder,filename,file_stem,extension,file_size_bytes,created_time,modified_time,is_readable,read_error,width,height,channels,color_mode,mean_r,mean_g,mean_b,std_r,std_g,std_b,min_r,min_g,min_b,max_r,max_g,max_b,brightness_mean,brightness_std,image_hash,naming_rule_matched,naming_rule_error,parsed_sample_id
1,data/01_raw/avocado/hardness/mock_id.jpg,hardness,mock_id.jpg,mock_id,.jpg,130616,2026-06-17T12:11:24+00:00,2026-06-29T06:15:27.837751+00:00,True,,1920,1080,3,RGB,139.076416015625,133.16075134277344,130.2911376953125,56.45150375366211,56.15657043457031,63.21354675292969,3,0,0,255,232,235,134.60238647460938,55.89383316040039,cbfd7508a94d23d7f37654669721daa6e79899974deab68284afc629c3478784,True,,mock_id
2,data/01_raw/avocado/output/webcam_2026-06-14_20-30-44.jpg,output,webcam_2026-06-14_20-30-44.jpg,webcam_2026-06-14_20-30-44,.jpg,203833,2026-06-13T23:13:08+00:00,2026-06-29T06:15:27.358531+00:00,True,,1920,1080,3,RGB,139.04925537109375,136.1992645263672,131.50772094726562,57.23788833618164,55.960784912109375,64.37810516357422,8,0,0,242,229,233,136.51657104492188,57.13033676147461,402b2cd69115ae9a0daf8cc5de90120756c38f4d32e0180b2b912af1a99f6008,True,,webcam_2026-06-14_20-30-44
3,data/01_raw/avocado/output/webcam_2026-06-14_20-45-44.jpg,output,webcam_2026-06-14_20-45-44.jpg,webcam_2026-06-14_20-45-44,.jpg,204495,2026-06-13T23:43:08+00:00,2026-06-29T06:15:27.259075+00:00,True,,1920,1080,3,RGB,137.8602294921875,135.21165466308594,130.65846252441406,57.08075714111328,55.7725715637207,64.1726303100586,6,0,0,236,229,233,135.48452758789062,56.94509506225586,31f2477818375c9185948ac3a3e4266f24af826a04c1d64d6c654158b07d2313,True,,webcam_2026-06-14_20-45-44
4,data/01_raw/avocado/output/webcam_2026-06-14_21-00-44.jpg,output,webcam_2026-06-14_21-00-44.jpg,webcam_2026-06-14_21-00-44,.jpg,203912,2026-06-13T23:58:08+00:00,2026-06-29T06:15:27.222056+00:00,True,,1920,1080,3,RGB,138.0939178466797,135.3549041748047,130.8019256591797,56.96952438354492,55.71247482299805,64.07052612304688,10,0,0,237,229,234,135.65478515625,56.86738967895508,e635d7e32a75add4f10d60dfa15026e95b11c58088ef6c294e66b07f8bfa38bf,True,,webcam_2026-06-14_21-00-44
5,data/01_raw/avocado/output/webcam_2026-06-14_21-15-44.jpg,output,webcam_2026-06-14_21-15-44.jpg,webcam_2026-06-14_21-15-44,.jpg,204619,2026-06-14T00:13:08+00:00,2026-06-29T06:15:27.709096+00:00,True,,1920,1080,3,RGB,137.95321655273438,135.2891845703125,130.75205993652344,57.05023956298828,55.73571014404297,64.15681457519531,10,0,0,237,230,233,135.56846618652344,56.91156005859375,a581cce9c5178be56a2834d71b58cc1a616d634f311887d56d257c4b0023ad29,True,,webcam_2026-06-14_21-15-44
6,data/01_raw/avocado/output/webcam_2026-06-14_21-30-44.jpg,output,webcam_2026-06-14_21-30-44.jpg,webcam_2026-06-14_21-30-44,.jpg,204669,2026-06-14T00:28:08+00:00,2026-06-29T06:15:27.287085+00:00,True,,1920,1080,3,RGB,138.01107788085938,135.34825134277344,130.7760467529297,57.041358947753906,55.72808837890625,64.13624572753906,7,0,0,237,230,234,135.62319946289062,56.902530670166016,ecc92327a773eb214ec670d2f83e4f25d537f8749b7b877506f0173da380996e,True,,webcam_2026-06-14_21-30-44
7,data/01_raw/avocado/output/webcam_2026-06-14_21-45-44.jpg,output,webcam_2026-06-14_21-45-44.jpg,webcam_2026-06-14_21-45-44,.jpg,203834,2026-06-14T00:43:08+00:00,2026-06-29T06:15:27.757126+00:00,True,,1920,1080,3,RGB,138.1743927001953,135.46681213378906,130.95257568359375,56.92972183227539,55.68039321899414,64.01991271972656,5,0,0,236,230,233,135.76177978515625,56.82944869995117,fdd9606d15805a9b8f6b31de4195cfcb8052ee1dc7db61afa7fb9477cbefacf6,True,,webcam_2026-06-14_21-45-44
8,data/01_raw/avocado/output/webcam_2026-06-14_22-00-44.jpg,output,webcam_2026-06-14_22-00-44.jpg,webcam_2026-06-14_22-00-44,.jpg,204735,2026-06-14T00:58:08+00:00,2026-06-29T06:15:27.797803+00:00,True,,1920,1080,3,RGB,138.61753845214844,135.9594268798828,131.3968048095703,57.20436477661133,55.84100341796875,64.27912902832031,5,0,0,237,235,238,136.23402404785156,57.033382415771484,a717fd01cd42511e632a4ff5f649c805c4a2f0ed907d866f3c1be88bd801f60b,True,,webcam_2026-06-14_22-00-44
9,data/01_raw/avocado/output/webcam_2026-06-14_22-15-44.jpg,output,webcam_2026-06-14_22-15-44.jpg,webcam_2026-06-14_22-15-44,.jpg,204706,2026-06-14T01:13:10+00:00,2026-06-29T06:15:27.689031+00:00,True,,1920,1080,3,RGB,138.6356201171875,135.9772186279297,131.45318603515625,57.17570877075195,55.819339752197266,64.25241088867188,8,0,0,239,230,233,136.25631713867188,57.007266998291016,a96f56a08cf4d31f88b5a13385f75431d298848d08ebfa8f36d3ad257199461c,True,,webcam_2026-06-14_22-15-44
10,data/01_raw/avocado/output/webcam_2026-06-14_22-30-44.jpg,output,webcam_2026-06-14_22-30-44.jpg,webcam_2026-06-14_22-30-44,.jpg,203776,2026-06-14T01:28:10+00:00,2026-06-29T06:15:27.277740+00:00,True,,1920,1080,3,RGB,137.35272216796875,134.71324157714844,129.83876037597656,57.60103225708008,56.23497009277344,64.34262084960938,4,0,0,253,232,234,134.94680786132812,57.389705657958984,5dfad821b55ab1d61d7882fb8c4cefc6892315b46c192c79831cbca392717e47,True,,webcam_2026-06-14_22-30-44
11,data/01_raw/avocado/output/webcam_2026-06-14_22-45-44.jpg,output,webcam_2026-06-14_22-45-44.jpg,webcam_2026-06-14_22-45-44,.jpg,204409,2026-06-14T01:43:10+00:00,2026-06-29T06:15:27.157969+00:00,True,,1920,1080,3,RGB,137.23098754882812,134.65188598632812,129.63131713867188,57.71661376953125,56.2739143371582,64.38628387451172,5,0,0,244,238,243,134.8506622314453,57.456172943115234,660b52c292aaa7edd72f4447081891a3828f2ace57377aaa0a6813a193794e83,True,,webcam_2026-06-14_22-45-44
12,data/01_raw/avocado/output/webcam_2026-06-14_23-00-44.jpg,output,webcam_2026-06-14_23-00-44.jpg,webcam_2026-06-14_23-00-44,.jpg,197172,2026-06-14T01:58:10+00:00,2026-06-29T06:15:27.177674+00:00,True,,1920,1080,3,RGB,136.64768981933594,133.90432739257812,129.55322265625,57.47047424316406,55.67378234863281,64.11689758300781,6,0,0,246,234,241,134.2285919189453,56.973541259765625,d70105e33f54fae7f7a1278e191a7d9f7da1271f995d458d2959652972ab0d10,True,,webcam_2026-06-14_23-00-44
13,data/01_raw/avocado/output/webcam_2026-06-14_23-15-44.jpg,output,webcam_2026-06-14_23-15-44.jpg,webcam_2026-06-14_23-15-44,.jpg,196034,2026-06-14T02:13:10+00:00,2026-06-29T06:15:27.729277+00:00,True,,1920,1080,3,RGB,136.82969665527344,133.9769744873047,129.7374725341797,57.363739013671875,55.629085540771484,64.02474975585938,6,0,0,244,237,243,134.3466033935547,56.90458679199219,45d19fdbf84fcacaef383f6c4ebcfa0c60c2c4a48918cb253393b0ff8e69a99b,True,,webcam_2026-06-14_23-15-44
14,data/01_raw/avocado/output/webcam_2026-06-14_23-30-44.jpg,output,webcam_2026-06-14_23-30-44.jpg,webcam_2026-06-14_23-30-44,.jpg,195979,2026-06-14T02:28:10+00:00,2026-06-29T06:15:27.668899+00:00,True,,1920,1080,3,RGB,136.51104736328125,133.79156494140625,129.543212890625,57.44892501831055,55.592811584472656,63.9895133972168,4,0,0,243,239,239,134.12037658691406,56.9007568359375,0aef31cddd3d6319331c3976d4aeee27b4dfae3b4ad596858776e0184cc394f3,True,,webcam_2026-06-14_23-30-44
15,data/01_raw/avocado/output/webcam_2026-06-14_23-45-44.jpg,output,webcam_2026-06-14_23-45-44.jpg,webcam_2026-06-14_23-45-44,.jpg,196022,2026-06-14T02:43:10+00:00,2026-06-29T06:15:27.813298+00:00,True,,1920,1080,3,RGB,136.4855194091797,133.66146850585938,129.41244506835938,57.347930908203125,55.58058547973633,63.93109893798828,2,0,0,243,239,244,134.02146911621094,56.85901641845703,3f9e16426d26f1d088702893a0b5ccc97a3cdf6cbddb24d4d0e9ed529ffd9984,True,,webcam_2026-06-14_23-45-44
16,data/01_raw/avocado/output/webcam_2026-06-15_00-00-44.jpg,output,webcam_2026-06-15_00-00-44.jpg,webcam_2026-06-15_00-00-44,.jpg,195292,2026-06-14T02:58:10+00:00,2026-06-29T06:15:27.208038+00:00,True,,1920,1080,3,RGB,136.6313018798828,133.7785186767578,129.5455780029297,57.21535873413086,55.54078674316406,63.81003952026367,5,0,0,244,238,243,134.14895629882812,56.78369903564453,e4e91ca15dfd930dae137a67beba2cd7944dbebd08c6b71911d845e17888534c,True,,webcam_2026-06-15_00-00-44
17,data/01_raw/avocado/output/webcam_2026-06-15_00-15-44.jpg,output,webcam_2026-06-15_00-15-44.jpg,webcam_2026-06-15_00-15-44,.jpg,195330,2026-06-14T03:13:10+00:00,2026-06-29T06:15:27.197141+00:00,True,,1920,1080,3,RGB,136.6603240966797,133.85206604003906,129.443359375,57.38150405883789,55.612823486328125,63.95943069458008,1,0,0,253,235,240,134.18914794921875,56.89418029785156,abe380200d73c0ca6ecb5e560db9e975d26e93939b8da98b75b28469056cd335,True,,webcam_2026-06-15_00-15-44
18,data/01_raw/avocado/output/webcam_2026-06-15_00-30-44.jpg,output,webcam_2026-06-15_00-30-44.jpg,webcam_2026-06-15_00-30-44,.jpg,195677,2026-06-14T03:28:10+00:00,2026-06-29T06:15:27.247880+00:00,True,,1920,1080,3,RGB,136.83392333984375,133.98040771484375,129.59994506835938,57.47064971923828,55.64751052856445,64.02886962890625,9,0,0,242,236,242,134.33424377441406,56.94868850708008,ff3441401e39cba2eefebf45363137392d4ffb8e4cdf05924d094566ad3f2307,True,,webcam_2026-06-15_00-30-44
19,data/01_raw/avocado/output/webcam_2026-06-15_00-45-44.jpg,output,webcam_2026-06-15_00-45-44.jpg,webcam_2026-06-15_00-45-44,.jpg,195171,2026-06-14T03:43:10+00:00,2026-06-29T06:15:27.737790+00:00,True,,1920,1080,3,RGB,137.1799774169922,134.20066833496094,129.83656311035156,57.364131927490234,55.642860412597656,63.93232345581055,8,0,0,245,237,242,134.59393310546875,56.904762268066406,685c7a58e719aff14c7bedac789ad4914dd16a8a9d0f6b59868ec9f203548786,True,,webcam_2026-06-15_00-45-44
20,data/01_raw/avocado/output/webcam_2026-06-15_01-00-44.jpg,output,webcam_2026-06-15_01-00-44.jpg,webcam_2026-06-15_01-00-44,.jpg,194780,2026-06-14T03:58:10+00:00,2026-06-29T06:15:27.757642+00:00,True,,1920,1080,3,RGB,137.16029357910156,134.24191284179688,129.8352508544922,57.40349578857422,55.65966796875,63.91360092163086,6,0,0,248,236,243,134.61212158203125,56.924198150634766,e51582b2a269a807c7f30c54004448689b0267ee4ae17ee0a72b4c93ab47af37,True,,webcam_2026-06-15_01-00-44
21,data/01_raw/avocado/output/webcam_2026-06-15_01-15-44.jpg,output,webcam_2026-06-15_01-15-44.jpg,webcam_2026-06-15_01-15-44,.jpg,194722,2026-06-14T04:13:10+00:00,2026-06-29T06:15:27.187608+00:00,True,,1920,1080,3,RGB,137.02066040039062,134.19537353515625,129.7315673828125,57.51624298095703,55.70344924926758,64.08187866210938,9,0,0,254,235,237,134.53125,57.00300598144531,d6c9eb0eaf512d310c43781c14787320487bfefeb44bf2ddec74bafd234227ba,True,,webcam_2026-06-15_01-15-44
22,data/01_raw/avocado/output/webcam_2026-06-15_01-30-44.jpg,output,webcam_2026-06-15_01-30-44.jpg,webcam_2026-06-15_01-30-44,.jpg,195196,2026-06-14T04:28:10+00:00,2026-06-29T06:15:27.200477+00:00,True,,1920,1080,3,RGB,137.6238555908203,134.67408752441406,130.2650909423828,57.508060455322266,55.76512145996094,64.07361602783203,9,0,0,246,235,240,135.05345153808594,57.03547286987305,e7346cd48add17f882f75278a83d0c866ebd7a3afa24300b5b85dbef8f5e846e,True,,webcam_2026-06-15_01-30-44
23,data/01_raw/avocado/output/webcam_2026-06-15_01-45-44.jpg,output,webcam_2026-06-15_01-45-44.jpg,webcam_2026-06-15_01-45-44,.jpg,195241,2026-06-14T04:43:10+00:00,2026-06-29T06:15:27.697971+00:00,True,,1920,1080,3,RGB,137.77210998535156,134.79571533203125,130.45236206054688,57.544471740722656,55.78157043457031,64.11223602294922,3,0,0,242,241,242,135.1905059814453,57.055328369140625,8c4306f76932a2c16a6bbef7116099a445706f1f8a1856ecf2143cdba9754cdf,True,,webcam_2026-06-15_01-45-44
24,data/01_raw/avocado/output/webcam_2026-06-15_02-00-44.jpg,output,webcam_2026-06-15_02-00-44.jpg,webcam_2026-06-15_02-00-44,.jpg,195476,2026-06-14T04:58:10+00:00,2026-06-29T06:15:27.659455+00:00,True,,1920,1080,3,RGB,137.554443359375,134.7144775390625,130.40907287597656,57.66071319580078,55.79569625854492,64.19815826416016,8,0,0,245,239,244,135.07278442382812,57.108543395996094,eccf00a9049310fcf3b1aea1859af1655c4dc8f810b5dc5e657b28d1c1a6563c,True,,webcam_2026-06-15_02-00-44
25,data/01_raw/avocado/output/webcam_2026-06-15_02-15-44.jpg,output,webcam_2026-06-15_02-15-44.jpg,webcam_2026-06-15_02-15-44,.jpg,194312,2026-06-14T05:13:10+00:00,2026-06-29T06:15:27.152637+00:00,True,,1920,1080,3,RGB,137.0990753173828,134.09930419921875,129.92457580566406,57.26374053955078,55.571231842041016,63.78757095336914,7,0,0,246,239,242,134.52032470703125,56.8127326965332,809b2dcbef60727fcde7fd173998ed990b85f6258a1ba5b2e58f3343cbceb807,True,,webcam_2026-06-15_02-15-44
