image_id,relative_path,parent_folder,filename,file_stem,extension,file_size_bytes,created_time,modified_time,is_readable,read_error,width,height,channels,color_mode,mean_r,mean_g,mean_b,std_r,std_g,std_b,min_r,min_g,min_b,max_r,max_g,max_b,brightness_mean,brightness_std,image_hash,naming_rule_matched,naming_rule_error,parsed_sample_id
1,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_02-30-44.jpg,output,webcam_2026-06-15_02-30-44.jpg,webcam_2026-06-15_02-30-44,.jpg,193659,2026-06-29T08:49:06.064300+00:00,2026-06-29T06:15:27.587800+00:00,True,,1920,1080,3,RGB,137.06900024414062,134.03530883789062,129.78826904296875,57.2525520324707,55.545448303222656,63.80055618286133,8,0,0,248,236,243,134.45823669433594,56.798038482666016,1c8b20e70b9bdf8e49b49d44a518e39eb7d2116597ebad4cc8d66b6b19073e2d,True,,webcam_2026-06-15_02-30-44
2,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_03-30-44.jpg,output,webcam_2026-06-15_03-30-44.jpg,webcam_2026-06-15_03-30-44,.jpg,194441,2026-06-29T08:49:06.064300+00:00,2026-06-29T06:15:27.232276+00:00,True,,1920,1080,3,RGB,137.11965942382812,134.26124572753906,129.87303161621094,57.446044921875,55.63829803466797,63.94513702392578,1,0,0,247,236,239,134.61566162109375,56.926326751708984,5ce08704ee86175fbabfbba347e0ff0a810e11bc409bc688bc2c229735345bfb,True,,webcam_2026-06-15_03-30-44
3,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_05-30-44.jpg,output,webcam_2026-06-15_05-30-44.jpg,webcam_2026-06-15_05-30-44,.jpg,192970,2026-06-29T08:49:06.073688+00:00,2026-06-29T06:15:27.511885+00:00,True,,1920,1080,3,RGB,137.52252197265625,134.5565948486328,130.2618865966797,57.40597915649414,55.618404388427734,63.865291595458984,8,0,0,246,235,239,134.95379638671875,56.89491271972656,9e6ec3e3d9b27f24132820edcd0c5c4f27a39f66f16523089889883cf1b6792e,True,,webcam_2026-06-15_05-30-44
4,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_06-30-44.jpg,output,webcam_2026-06-15_06-30-44.jpg,webcam_2026-06-15_06-30-44,.jpg,193574,2026-06-29T08:49:06.075568+00:00,2026-06-29T06:15:27.618694+00:00,True,,1920,1080,3,RGB,137.4130401611328,134.57302856445312,130.15228271484375,57.4728889465332,55.676055908203125,63.965362548828125,8,0,0,242,234,239,134.918212890625,56.958885192871094,a58a9efafb11986fd7069569ca824190cc2054cdfdc4487bd51651afccf6cf95,True,,webcam_2026-06-15_06-30-44
5,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_06-45-44.jpg,output,webcam_2026-06-15_06-45-44.jpg,webcam_2026-06-15_06-45-44,.jpg,193022,2026-06-29T08:49:06.075568+00:00,2026-06-29T06:15:27.607698+00:00,True,,1920,1080,3,RGB,137.4808349609375,134.59889221191406,130.19813537597656,57.47146224975586,55.69660949707031,64.01490020751953,9,0,0,247,240,239,134.9588623046875,56.97772979736328,c571623e4ed384e56b3550f69a62831b471eec783d56132abb7f919f949e73eb,True,,webcam_2026-06-15_06-45-44
6,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_07-15-44.jpg,output,webcam_2026-06-15_07-15-44.jpg,webcam_2026-06-15_07-15-44,.jpg,192516,2026-06-29T08:49:06.075568+00:00,2026-06-29T06:15:27.057762+00:00,True,,1920,1080,3,RGB,137.50509643554688,134.6671142578125,130.3043212890625,57.53921127319336,55.66884231567383,63.980796813964844,5,0,0,245,239,243,135.01824951171875,56.97634506225586,5cf5a0cfc52f093de8f969fc0e20eb6dad44873ff66928ec13c7c78f7c07732d,True,,webcam_2026-06-15_07-15-44
7,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_14-15-44.jpg,output,webcam_2026-06-15_14-15-44.jpg,webcam_2026-06-15_14-15-44,.jpg,190613,2026-06-29T08:49:06.075568+00:00,2026-06-29T06:15:27.140835+00:00,True,,1920,1080,3,RGB,137.8972625732422,135.01800537109375,130.66392517089844,57.4380989074707,55.61322784423828,63.84992599487305,9,0,0,252,237,240,135.38255310058594,56.898101806640625,de2f62b4f9088cde4009fce11447d058e7f0959f176c71bab3563d2ba1bf1ea2,True,,webcam_2026-06-15_14-15-44
8,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_14-30-44.jpg,output,webcam_2026-06-15_14-30-44.jpg,webcam_2026-06-15_14-30-44,.jpg,190022,2026-06-29T08:49:06.084196+00:00,2026-06-29T06:15:26.979326+00:00,True,,1920,1080,3,RGB,137.94703674316406,135.02890014648438,130.6912384033203,57.401023864746094,55.62644577026367,63.87904357910156,10,0,0,251,236,239,135.40696716308594,56.900299072265625,5f58e57e154b8b191b900a4ea8db61daa1247f1a1a50a65bc85d5601ffcd86e8,True,,webcam_2026-06-15_14-30-44
9,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_15-30-44.jpg,output,webcam_2026-06-15_15-30-44.jpg,webcam_2026-06-15_15-30-44,.jpg,190788,2026-06-29T08:49:06.084196+00:00,2026-06-29T06:15:27.477870+00:00,True,,1920,1080,3,RGB,138.20474243164062,135.19439697265625,130.93763732910156,57.263919830322266,55.59829330444336,63.749977111816406,8,0,0,245,235,241,135.60919189453125,56.82630157470703,6f6e044f13413208671ab98509d2315d593336dee1b62a44cd76ec7622f57051,True,,webcam_2026-06-15_15-30-44
10,data/01_raw_dev_sample/avocado_n100_seed20260629/avocado/output/webcam_2026-06-15_16-45-44.jpg,output,webcam_2026-06-15_16-45-44.jpg,webcam_2026-06-15_16-45-44,.jpg,190358,2026-06-29T08:49:06.088780+00:00,2026-06-29T06:15:27.342102+00:00,True,,1920,1080,3,RGB,138.1166534423828,135.1910400390625,130.889892578125,57.368133544921875,55.60919189453125,63.83129119873047,8,0,0,255,238,242,135.575439453125,56.87366485595703,ddfe89dc0dd9e788213d9c7001959094540e388cdfe0838f59dee5200f19e225,True,,webcam_2026-06-15_16-45-44
