numeric_source,record_key,record_date,record_timestamp_key,has_matching_image,matching_image_count,numeric_record_count,value_columns,value_count,nonzero_value_count,mapping_level,mapping_note
hardness,2026-06-14,2026-06-14,,False,0,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,6,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-15,2026-06-15,,True,14,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,6,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-16,2026-06-16,,True,10,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,6,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-17,2026-06-17,,True,9,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,5,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-18,2026-06-18,,True,7,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,5,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-19,2026-06-19,,True,15,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,4,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-20,2026-06-20,,True,10,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,4,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-21,2026-06-21,,True,9,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,3,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-22,2026-06-22,,True,10,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,0,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-23,2026-06-23,,True,10,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,0,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-24,2026-06-24,,True,2,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,0,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
hardness,2026-06-25,2026-06-25,,True,4,1,fruit_1|fruit_2|fruit_3|fruit_4|fruit_5|fruit_6,6,0,date,"Hardness rows use 'time' plus fruit columns; Stage 1.5 verifies image coverage by date, not fruit position."
environment,2026-06-14T20:30:44,2026-06-14,2026-06-14T20:30:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T20:45:44,2026-06-14,2026-06-14T20:45:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T21:00:44,2026-06-14,2026-06-14T21:00:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T21:15:44,2026-06-14,2026-06-14T21:15:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T21:30:44,2026-06-14,2026-06-14T21:30:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T21:45:44,2026-06-14,2026-06-14T21:45:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T22:00:44,2026-06-14,2026-06-14T22:00:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T22:15:44,2026-06-14,2026-06-14T22:15:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T22:30:44,2026-06-14,2026-06-14T22:30:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T22:45:44,2026-06-14,2026-06-14T22:45:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T23:00:44,2026-06-14,2026-06-14T23:00:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T23:15:44,2026-06-14,2026-06-14T23:15:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T23:30:44,2026-06-14,2026-06-14T23:30:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-14T23:45:44,2026-06-14,2026-06-14T23:45:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
environment,2026-06-15T00:00:44,2026-06-15,2026-06-15T00:00:44,False,0,1,temperature_c|humidity_rh,2,,timestamp,Environment rows use 'timestamp'; Stage 1.5 compares local timestamp text to webcam filename time.
